url,malicious,url_res,hostname_res,path_res,first_dir_res,top_level_res,dash_res,at_res,q_res,percent_res,dot_res,equal_res,colon_res,www_res,numbers_res,letters_res,dir_res,single_letter_res,query_res,ratio_upper_lower_res,ip_res,shortened_res,http_res
http://www.cashusaadvance.net,1,29,18,0,0,3,0,0,0,0,2,0,0,1,0,24,0,0,0,0.0,0,0,0
http://www.credly.com,1,21,10,0,0,3,0,0,0,0,2,0,0,1,0,16,0,0,0,0.0,0,0,0
http://www.jiameng.com,1,22,11,0,0,3,0,0,0,0,2,0,0,1,0,17,0,0,0,0.0,0,0,0
http://www.creditkarma.com,1,26,15,0,0,3,0,0,0,0,2,0,0,1,0,21,0,0,0,0.0,0,0,0
http://www.earth911.com,1,23,12,0,0,3,0,0,0,0,2,0,0,1,3,15,0,0,0,0.0,0,0,0
http://www.jquery.org,1,21,10,0,0,3,0,0,0,0,2,0,0,1,0,16,0,0,0,0.0,0,0,0
http://www.ard.de,1,17,6,0,0,2,0,0,0,0,2,0,0,1,0,12,0,0,0,0.0,0,0,0
http://www.lainformacion.com,1,28,17,0,0,3,0,0,0,0,2,0,0,1,0,23,0,0,0,0.0,0,0,0
http://www.vultr.com,1,20,9,0,0,3,0,0,0,0,2,0,0,1,0,15,0,0,0,0.0,0,0,0
http://www.elysee.fr,1,20,9,0,0,2,0,0,0,0,2,0,0,1,0,15,0,0,0,0.0,0,0,0
http://www.oyez.org,1,19,8,0,0,3,0,0,0,0,2,0,0,1,0,14,0,0,0,0.0,0,0,0
http://www.correios.com.br,1,26,15,0,0,2,0,0,0,0,3,0,0,1,0,20,0,0,0,0.0,0,0,0
http://www.hkeaa.edu.hk,1,23,12,0,0,2,0,0,0,0,3,0,0,1,0,17,0,0,0,0.0,0,0,0
http://www.easterneuropeanwomen.info,1,36,25,0,0,4,0,0,0,0,2,0,0,1,0,31,0,0,0,0.0,0,0,0
http://www.screencast-o-matic.com,1,33,22,0,0,3,2,0,0,0,2,0,0,1,0,26,0,0,0,0.0,0,0,0
http://www.exlibrisgroup.com,1,28,17,0,0,3,0,0,0,0,2,0,0,1,0,23,0,0,0,0.0,0,0,0
http://www.news.com,1,19,8,0,0,3,0,0,0,0,2,0,0,1,0,14,0,0,0,0.0,0,0,0
http://www.firstthings.com,1,26,15,0,0,3,0,0,0,0,2,0,0,1,0,21,0,0,0,0.0,0,0,0
http://www.italia.it,1,20,9,0,0,2,0,0,0,0,2,0,0,1,0,15,0,0,0,0.0,0,0,0
http://www.backblaze.com,1,24,13,0,0,3,0,0,0,0,2,0,0,1,0,19,0,0,0,0.0,0,0,0
